tag,target_sparsity,layer,layer_sparsity,kernel_weights
s25,0.25,stem_conv,0.09722222222222222,216
s25,0.25,block1_dw,0.1388888888888889,72
s25,0.25,block1_pw,0.09375,128
s25,0.25,block2_dw,0.13194444444444445,144
s25,0.25,block2_pw,0.095703125,512
s25,0.25,block3_dw,0.17708333333333334,288
s25,0.25,block3_pw,0.0908203125,1024
s25,0.25,block4_dw,0.2048611111111111,288
s25,0.25,block4_pw,0.134765625,2048
s25,0.25,block5_dw,0.24479166666666666,576
s25,0.25,block5_pw,0.13525390625,4096
s25,0.25,block6_dw,0.24305555555555555,576
s25,0.25,block6_pw,0.170166015625,8192
s25,0.25,block7_dw,0.3142361111111111,1152
s25,0.25,block7_pw,0.1947021484375,16384
s25,0.25,block8_dw,0.2977430555555556,1152
s25,0.25,block8_pw,0.19842529296875,16384
s25,0.25,block9_dw,0.2803819444444444,1152
s25,0.25,block9_pw,0.2025146484375,16384
s25,0.25,block10_dw,0.3368055555555556,1152
s25,0.25,block10_pw,0.36944580078125,32768
s25,0.25,person_probability,0.53125,256
s50,0.5,stem_conv,0.2222222222222222,216
s50,0.5,block1_dw,0.2222222222222222,72
s50,0.5,block1_pw,0.15625,128
s50,0.5,block2_dw,0.3402777777777778,144
s50,0.5,block2_pw,0.181640625,512
s50,0.5,block3_dw,0.40625,288
s50,0.5,block3_pw,0.2373046875,1024
s50,0.5,block4_dw,0.4444444444444444,288
s50,0.5,block4_pw,0.28125,2048
s50,0.5,block5_dw,0.5260416666666666,576
s50,0.5,block5_pw,0.30615234375,4096
s50,0.5,block6_dw,0.5173611111111112,576
s50,0.5,block6_pw,0.369140625,8192
s50,0.5,block7_dw,0.6067708333333334,1152
s50,0.5,block7_pw,0.42218017578125,16384
s50,0.5,block8_dw,0.6197916666666666,1152
s50,0.5,block8_pw,0.43646240234375,16384
s50,0.5,block9_dw,0.6137152777777778,1152
s50,0.5,block9_pw,0.44573974609375,16384
s50,0.5,block10_dw,0.6527777777777778,1152
s50,0.5,block10_pw,0.66619873046875,32768
s50,0.5,person_probability,0.8984375,256
s75,0.75,stem_conv,0.4537037037037037,216
s75,0.75,block1_dw,0.3611111111111111,72
s75,0.75,block1_pw,0.2578125,128
s75,0.75,block2_dw,0.5347222222222222,144
s75,0.75,block2_pw,0.33203125,512
s75,0.75,block3_dw,0.6631944444444444,288
s75,0.75,block3_pw,0.3759765625,1024
s75,0.75,block4_dw,0.7013888888888888,288
s75,0.75,block4_pw,0.4697265625,2048
s75,0.75,block5_dw,0.8055555555555556,576
s75,0.75,block5_pw,0.503173828125,4096
s75,0.75,block6_dw,0.8142361111111112,576
s75,0.75,block6_pw,0.610595703125,8192
s75,0.75,block7_dw,0.875,1152
s75,0.75,block7_pw,0.6888427734375,16384
s75,0.75,block8_dw,0.8784722222222222,1152
s75,0.75,block8_pw,0.70074462890625,16384
s75,0.75,block9_dw,0.8932291666666666,1152
s75,0.75,block9_pw,0.73089599609375,16384
s75,0.75,block10_dw,0.8975694444444444,1152
s75,0.75,block10_pw,0.899871826171875,32768
s75,0.75,person_probability,1.0,256
s90,0.9,stem_conv,0.6481481481481481,216
s90,0.9,block1_dw,0.5694444444444444,72
s90,0.9,block1_pw,0.34375,128
s90,0.9,block2_dw,0.6875,144
s90,0.9,block2_pw,0.44140625,512
s90,0.9,block3_dw,0.8958333333333334,288
s90,0.9,block3_pw,0.5283203125,1024
s90,0.9,block4_dw,0.8888888888888888,288
s90,0.9,block4_pw,0.650390625,2048
s90,0.9,block5_dw,0.9600694444444444,576
s90,0.9,block5_pw,0.697509765625,4096
s90,0.9,block6_dw,0.9548611111111112,576
s90,0.9,block6_pw,0.812255859375,8192
s90,0.9,block7_dw,0.9852430555555556,1152
s90,0.9,block7_pw,0.8787841796875,16384
s90,0.9,block8_dw,0.9817708333333334,1152
s90,0.9,block8_pw,0.88616943359375,16384
s90,0.9,block9_dw,0.9904513888888888,1152
s90,0.9,block9_pw,0.9112548828125,16384
s90,0.9,block10_dw,0.9817708333333334,1152
s90,0.9,block10_pw,0.984405517578125,32768
s90,0.9,person_probability,1.0,256
